Accident_Index,Location_Easting_OSGR,Location_Northing_OSGR,Longitude,Latitude,Police_Force,Accident_Severity,Number_of_Vehicles,Number_of_Casualties,Date,Day_of_Week,Time,Local_Authority_(District),Local_Authority_(Highway),1st_Road_Class,1st_Road_Number,Road_Type,Speed_limit,Junction_Detail,Junction_Control,2nd_Road_Class,2nd_Road_Number,Pedestrian_Crossing-Human_Control,Pedestrian_Crossing-Physical_Facilities,Light_Conditions,Weather_Conditions,Road_Surface_Conditions,Special_Conditions_at_Site,Carriageway_Hazards,Urban_or_Rural_Area,Did_Police_Officer_Attend_Scene_of_Accident,LSOA_of_Accident_Location,Month,Calendar_Year
200597AB01408,258940,665740,-4.255603,55.864179,97,3,1,1,08/08/2005,2,14:10:00,926,S12000043,6,0,2,30,3,4,6,0,0,5,1,1,1,0,0,1,1,,8,2005
200597AB01409,259720,664980,-4.242757,55.857583,97,3,3,1,02/09/2005,6,07:50:00,926,S12000043,3,8,3,30,6,2,6,0,0,0,1,1,1,0,0,1,2,,9,2005
200597AB01411,259260,665450,-4.250343,55.861668,97,3,1,1,03/11/2005,5,14:30:00,926,S12000043,6,0,2,30,0,-1,-1,0,0,5,1,1,1,0,0,1,1,,11,2005
200597AB01412,259210,664650,-4.250726,55.854471,97,3,5,21,09/12/2005,6,15:00:00,926,S12000043,3,8,6,30,6,2,3,814,0,4,1,1,2,0,0,1,1,,12,2005
200597AB01502,258790,664890,-4.257555,55.856503,97,3,1,1,10/02/2005,5,09:10:00,926,S12000043,6,0,6,30,6,2,6,0,0,4,1,5,2,0,0,1,1,,2,2005
200597AB01505,258740,665820,-4.258838,55.864838,97,3,1,1,14/05/2005,7,03:30:00,926,S12000043,6,0,9,20,0,-1,-1,0,0,0,4,1,1,0,0,1,2,,5,2005
200597AB01506,258850,665100,-4.256707,55.858406,97,3,2,1,03/06/2005,6,19:00:00,926,S12000043,6,0,6,30,6,2,6,0,0,4,1,1,1,0,0,1,1,,6,2005
200597AB01512,259270,665910,-4.250423,55.865801,97,3,2,1,09/12/2005,6,18:30:00,926,S12000043,6,0,3,30,0,-1,-1,0,0,4,4,2,2,0,0,1,2,,12,2005
200597AB01601,259300,664990,-4.249466,55.85755,97,3,1,1,06/01/2005,5,18:50:00,926,S12000043,6,0,6,30,0,-1,-1,0,0,4,4,5,2,0,0,1,2,,1,2005
200597AB01704,259230,666360,-4.251295,55.86983,97,3,2,1,04/04/2005,2,18:20:00,926,S12000043,1,8,7,50,7,2,1,8,0,0,1,2,2,0,0,1,1,,4,2005
200597AB01706,259010,665670,-4.254449,55.863571,97,3,2,1,12/06/2005,1,04:50:00,926,S12000043,6,0,6,30,6,2,6,0,0,0,1,1,1,0,0,1,1,,6,2005
200597AB01708,258910,665620,-4.25602,55.863092,97,3,1,1,02/08/2005,3,17:30:00,926,S12000043,6,0,2,30,6,4,6,0,0,5,1,1,2,0,0,1,2,,8,2005
